Nota,Genero,Edad,Entorno Urbano,Familia <=3,Padres Separados,Nivel Edu Madre,Nivel Edu Padre,Tutor No Paterno,Tiempo Casa-Escuela,Tiempo Estudio Semanal,Extraescolares,Acceso Internet,Relación Romántica,Calidad Relación Familiar,Tiempo Estudio,Sale con Amigos,Alcohol Semana,Alcohol Finde,Estado Salud,Ausencias
3.0,0,18,1,0,1,4,4,0,2,2,0,0,0,4,3,4,1,1,3,6
3.0,0,17,1,0,0,1,1,0,1,2,0,1,0,5,3,3,1,1,3,4
5.0,0,15,1,1,0,1,1,0,1,2,0,1,0,4,3,2,2,3,3,10
7.5,0,15,1,0,0,4,2,0,1,3,1,1,1,3,2,2,1,1,5,2
5.0,0,16,1,0,0,3,3,0,1,2,0,0,0,4,3,2,1,2,5,4
7.5,1,16,1,1,0,4,3,0,1,2,1,1,0,5,4,2,1,2,5,10
5.5,1,16,1,1,0,2,2,0,1,2,0,1,0,4,4,4,1,1,3,0
3.0,0,17,1,0,1,4,4,0,2,2,0,0,0,4,1,4,1,1,1,6
9.5,1,15,1,1,1,3,2,0,1,2,0,1,0,4,2,2,1,1,1,0
7.5,1,15,1,0,0,3,4,0,1,2,1,1,0,5,5,1,1,1,5,0
4.5,0,15,1,0,0,4,4,0,1,2,0,1,0,3,3,3,1,2,2,0
6.0,0,15,1,0,0,2,1,0,3,3,1,1,0,5,2,2,1,1,4,4
7.0,1,15,1,1,0,4,4,0,1,1,1,1,0,4,3,3,1,3,5,2
5.5,1,15,1,0,0,4,3,0,2,2,0,1,0,5,4,3,1,2,3,2
8.0,1,15,1,0,1,2,2,1,1,3,0,1,1,4,5,2,1,1,3,0
7.0,0,16,1,0,0,4,4,0,1,1,0,1,0,4,4,4,1,2,2,4
7.0,0,16,1,0,0,4,4,0,1,3,1,1,0,3,2,3,1,2,2,6
5.0,0,16,1,0,0,3,3,0,3,2,1,0,0,5,3,2,1,1,4,4
2.5,1,17,1,0,0,3,2,0,1,1,1,1,0,5,5,5,2,4,5,16
5.0,1,16,1,1,0,4,3,0,1,1,1,1,0,3,1,3,1,3,5,4
7.5,1,15,1,0,0,4,3,0,1,2,0,1,0,4,4,1,1,1,1,0
7.5,1,15,1,0,0,4,4,0,1,1,0,1,0,5,4,2,1,1,5,0
8.0,1,16,1,1,0,4,2,0,1,2,1,1,0,4,5,1,1,3,5,2
6.0,1,16,1,1,0,2,2,0,2,2,1,1,0,5,4,4,2,4,5,0
4.0,0,15,0,0,0,2,4,0,1,3,1,1,0,4,3,2,1,1,5,2
4.0,0,16,1,0,0,2,2,0,1,1,0,1,0,1,2,2,1,3,5,14
5.5,1,15,1,0,0,2,2,0,1,1,0,1,0,4,2,2,1,2,5,2
7.5,1,15,1,0,0,4,2,0,1,1,0,1,0,2,2,4,2,4,1,4
5.5,1,16,1,1,1,3,4,0,1,2,1,1,0,5,3,3,1,1,5,4
5.5,1,16,1,0,0,4,4,0,1,2,1,1,1,4,4,5,5,5,5,16
6.0,1,15,1,0,0,4,4,0,1,2,0,1,0,5,4,2,3,4,5,0
8.5,1,15,1,0,0,4,4,0,2,2,1,1,0,4,3,1,1,1,5,0
8.0,1,15,0,0,0,4,3,0,1,2,1,1,1,4,5,2,1,1,5,0
6.0,1,15,1,1,0,3,3,0,1,2,1,1,0,5,3,2,1,1,2,0
7.5,1,16,1,0,0,3,2,0,1,1,0,1,0,5,4,3,1,1,5,0
3.0,0,15,1,0,0,2,3,0,2,1,1,0,0,3,5,1,1,1,5,0
9.0,1,15,1,1,0,4,3,0,1,3,1,1,0,5,4,3,1,1,4,2
7.5,1,16,0,0,1,4,4,0,2,3,1,1,1,2,4,3,1,1,5,7
5.5,0,15,0,0,0,3,4,0,1,3,1,1,0,4,3,2,1,1,5,2
6.5,0,15,0,0,0,2,2,0,1,1,1,0,0,4,3,1,1,1,2,8
5.5,0,16,1,1,0,2,2,0,2,2,1,1,1,3,3,3,1,2,3,25
6.0,1,15,1,1,0,4,4,1,1,1,0,1,1,5,4,3,2,4,5,8
9.0,1,15,1,0,0,4,4,0,1,2,1,1,0,4,3,3,1,1,5,2
5.5,1,15,1,0,0,2,2,0,1,1,0,1,0,5,4,1,1,1,1,0
4.5,0,16,1,1,0,2,2,0,2,2,1,1,0,4,3,3,2,2,5,14
3.0,0,15,1,1,1,4,3,0,1,2,1,1,1,5,2,2,1,1,5,8
5.5,0,16,1,1,1,3,3,0,1,2,0,1,0,2,3,5,1,4,3,12
10.0,1,16,1,0,0,4,3,0,1,4,1,1,0,4,2,2,1,1,2,4
7.0,1,15,1,0,0,4,2,0,1,2,0,0,0,4,3,3,2,2,5,2
3.5,0,15,1,0,0,4,4,0,1,2,1,1,0,4,4,4,1,1,3,2
6.5,0,16,1,1,0,2,2,0,3,2,0,1,0,4,3,3,2,3,4,2
6.5,0,15,1,1,0,4,2,0,1,2,0,1,0,4,3,3,1,1,5,2
5.0,1,15,1,1,1,4,2,0,2,1,0,0,0,5,5,5,3,4,5,6
5.5,0,15,1,0,0,4,4,0,1,1,0,1,0,3,3,4,2,3,5,0
6.5,0,15,1,1,1,3,3,0,1,1,0,1,0,5,3,4,4,4,1,6
5.0,0,16,1,0,1,2,1,0,1,2,1,1,1,5,3,4,1,1,2,8
7.5,0,15,1,0,1,4,3,0,1,2,1,1,0,4,3,2,1,1,1,0
7.5,1,15,1,0,0,4,4,0,1,2,1,0,0,3,2,2,1,1,5,4
4.5,1,15,1,1,0,1,2,0,1,2,1,1,0,4,3,2,1,1,5,2
8.0,0,16,1,0,0,4,2,0,1,2,0,1,0,4,2,3,1,1,5,2
5.5,0,16,0,0,0,4,4,0,1,2,1,0,0,2,4,4,2,3,4,6
5.5,0,16,1,0,0,1,1,0,4,1,1,1,1,5,5,5,5,5,5,6
4.5,0,16,1,1,0,1,2,0,1,2,1,1,0,4,4,3,1,1,1,4
4.5,0,16,1,0,0,4,3,0,1,3,1,1,0,3,4,4,2,4,4,2
5.0,0,15,1,1,0,4,3,0,1,2,1,1,1,4,4,4,2,4,2,0
7.5,0,16,1,1,0,4,3,0,3,2,1,1,0,5,4,3,1,2,1,2
6.0,1,15,1,0,1,4,4,0,1,4,1,1,1,1,3,3,5,5,3,4
3.0,0,16,1,0,0,3,1,0,1,4,0,1,0,4,3,3,1,2,5,4
4.0,0,15,0,1,0,2,2,0,2,2,0,1,0,4,1,3,1,3,4,2
8.0,0,15,0,1,0,3,1,0,2,4,0,1,0,4,4,2,2,3,3,12
7.5,1,16,1,0,0,3,1,0,2,4,0,1,0,4,3,2,1,1,5,0
5.0,1,15,1,0,0,4,2,0,1,4,0,1,0,3,3,3,1,1,3,0
2.5,0,15,0,0,0,1,1,0,1,2,0,1,1,3,3,4,2,4,5,2
7.0,1,16,1,0,0,3,1,0,1,1,1,0,0,5,3,2,2,2,5,2
5.5,0,16,1,0,0,3,3,0,1,2,1,1,0,4,3,3,2,4,5,54
5.0,1,15,1,0,0,4,3,0,1,2,1,1,0,4,3,3,2,3,5,6
5.0,1,15,1,0,0,4,0,0,2,4,1,1,0,3,4,3,1,1,1,8
5.5,0,16,1,0,0,2,2,0,1,4,0,1,1,5,2,3,1,3,3,0
5.0,1,17,1,0,0,2,1,0,2,1,1,1,0,4,5,1,1,1,3,2
2.5,0,16,1,0,0,3,4,0,1,2,0,1,0,2,4,3,1,2,3,12
6.0,1,15,1,0,0,2,3,0,1,1,1,1,1,3,2,2,1,3,3,2
5.5,1,15,1,0,0,2,3,0,1,3,0,1,0,5,3,2,1,2,5,4
3.0,0,15,1,1,0,3,2,0,1,2,0,1,0,4,4,4,1,1,5,10
7.5,1,15,1,1,0,2,2,0,2,2,1,1,0,5,3,3,1,3,4,4
5.0,0,15,1,0,0,1,1,0,1,2,1,1,0,4,3,2,2,3,4,2
4.0,0,15,1,0,0,4,4,0,2,2,0,1,1,4,4,4,2,3,5,6
3.0,0,16,1,1,0,2,2,0,1,2,0,0,0,4,3,4,1,2,2,4
7.0,0,15,1,0,0,4,2,0,1,3,1,1,0,5,3,3,1,3,1,4
5.0,1,16,1,0,0,2,2,0,2,2,1,1,0,4,4,2,1,1,3,12
3.5,1,16,1,1,1,4,4,0,1,2,0,0,0,4,1,3,3,5,5,18
4.0,0,16,1,0,0,3,3,0,1,3,0,1,1,4,3,3,1,3,4,0
9.0,0,15,1,0,0,4,3,0,1,1,1,1,0,4,5,5,1,3,1,4
3.0,0,16,1,1,0,3,1,0,1,2,0,0,0,3,3,3,2,3,2,4
5.0,0,16,1,0,0,4,2,0,2,2,1,1,0,5,3,3,1,1,1,0
7.0,1,15,1,1,0,2,2,0,1,4,1,1,0,4,3,4,1,1,4,6
5.0,0,15,0,0,0,1,1,0,2,4,1,1,0,3,1,2,1,1,1,2
7.5,1,16,0,0,0,4,3,0,2,1,1,1,0,3,3,3,1,1,4,2
5.0,0,16,1,0,0,2,1,0,1,2,0,0,1,4,3,5,1,1,5,2
7.0,0,16,1,0,0,4,4,0,1,1,1,1,0,5,3,4,1,2,1,6
4.0,0,16,1,0,0,4,3,0,1,3,0,1,0,5,3,5,1,1,3,0
2.5,1,16,1,0,0,4,4,0,1,1,1,1,0,4,5,5,5,5,4,14
8.5,1,16,1,0,0,4,4,0,1,3,1,1,1,4,4,3,1,1,4,0
7.0,1,15,1,0,0,4,4,0,1,1,1,1,0,5,3,3,1,1,5,4
3.0,0,15,1,0,0,3,2,0,2,2,0,1,0,4,3,5,1,1,2,26
9.0,1,15,1,0,1,3,4,0,1,2,1,1,0,5,4,4,1,1,1,0
5.5,0,15,1,0,1,3,3,0,1,4,0,0,0,4,3,3,1,1,4,10
4.0,0,15,1,0,0,2,2,0,1,4,0,1,0,5,1,2,1,1,3,8
9.0,1,16,1,0,0,3,3,0,1,3,1,1,0,5,3,3,1,1,5,2
6.5,1,15,0,0,0,4,4,0,4,4,1,1,1,1,3,5,3,5,1,6
8.0,0,16,1,1,0,4,4,0,1,3,1,1,1,5,4,5,1,1,4,4
9.5,1,15,1,1,1,4,4,0,1,1,1,1,0,5,5,3,1,1,4,6
5.0,0,16,0,0,0,3,3,0,1,3,1,1,0,4,1,2,1,1,2,0
6.5,0,16,1,0,0,2,2,0,1,2,1,1,0,3,1,2,1,1,5,6
9.5,1,15,1,1,0,4,2,0,1,1,0,1,0,3,5,2,1,1,3,10
4.5,1,15,0,0,0,2,1,0,1,2,1,1,1,5,4,2,1,1,5,8
8.0,1,16,1,0,0,4,4,0,1,2,1,1,0,5,4,4,1,2,5,2
7.0,1,15,1,0,0,4,4,0,2,2,1,0,0,4,4,3,1,1,2,2
6.5,1,16,1,0,0,3,3,0,2,1,1,1,0,5,4,2,1,1,5,0
4.0,1,17,0,0,0,1,3,0,3,2,1,1,0,5,2,4,1,4,5,20
6.5,1,15,1,0,0,3,4,0,1,1,0,1,0,3,4,3,1,2,4,6
7.5,0,15,1,0,0,1,2,0,1,2,0,1,0,3,2,3,1,2,1,2
7.5,1,15,1,0,0,2,2,0,1,4,1,1,0,5,5,4,1,2,5,6
6.5,0,16,1,1,0,2,4,0,2,2,1,1,1,4,2,2,1,2,5,2
6.5,1,16,1,0,0,4,4,0,1,1,1,1,0,3,4,4,1,4,5,18
4.0,0,16,1,0,0,2,2,0,1,2,0,1,1,5,4,4,1,1,5,0
6.0,1,15,1,0,0,3,4,0,1,1,0,1,0,5,5,5,3,2,5,0
5.5,0,15,1,1,1,3,4,0,1,2,1,1,1,5,3,2,1,1,1,0
4.5,0,19,1,0,0,0,1,1,1,2,0,0,0,3,4,2,1,1,5,2
0.0,1,18,0,0,0,2,2,0,1,1,1,1,0,3,3,3,1,2,4,0
9.0,1,16,0,0,0,4,4,0,1,1,1,1,0,3,5,5,2,5,4,8
0.0,0,15,0,0,0,3,4,0,2,3,0,1,1,4,2,2,2,2,5,0
0.0,0,15,1,0,0,1,1,0,3,1,1,1,1,4,3,3,1,2,4,0
6.0,0,17,1,1,0,2,2,0,1,1,0,1,1,3,4,4,1,3,5,12
5.5,0,16,1,0,1,3,4,0,1,1,0,1,0,3,2,1,1,4,5,16
0.0,1,15,0,0,0,3,4,0,4,2,0,0,1,5,3,3,1,1,5,0
0.0,0,15,1,0,0,4,4,0,1,3,1,1,1,4,3,3,1,1,5,0
0.0,1,17,0,0,0,3,4,0,3,2,0,0,0,5,4,5,2,4,5,0
0.0,0,16,1,0,1,3,3,1,2,1,1,1,1,4,3,2,1,1,5,0
6.0,1,16,1,1,0,1,1,0,1,2,0,0,1,4,4,4,1,3,5,0
7.5,0,15,1,0,0,4,4,0,2,1,1,1,0,4,3,2,1,1,5,0
0.0,1,15,1,0,0,4,3,0,2,4,0,1,0,2,2,2,1,1,3,0
4.5,1,16,1,1,0,2,2,0,2,1,1,1,0,2,3,3,2,2,2,8
5.5,0,15,1,0,0,4,4,0,1,3,1,1,0,4,2,2,1,1,5,2
6.5,0,16,1,1,0,1,1,0,1,1,0,1,0,3,4,4,3,3,1,2
0.0,1,17,1,0,0,2,1,0,1,1,0,1,0,5,4,5,1,2,5,0
5.5,0,15,1,0,0,1,1,0,1,2,0,1,0,4,4,2,1,2,5,0
0.0,0,15,1,0,0,3,2,0,1,2,0,1,0,3,3,2,1,1,3,0
5.5,0,15,1,0,0,1,2,0,1,2,0,1,0,4,3,2,1,1,5,2
0.0,1,16,1,0,0,4,4,0,1,1,0,1,1,3,3,2,2,1,5,0
5.0,1,15,1,1,1,2,1,0,4,1,0,1,0,4,5,5,2,5,5,0
0.0,1,18,1,1,0,1,1,0,1,1,0,1,1,2,3,5,2,5,4,0
7.0,1,16,1,1,0,2,1,0,1,1,1,0,1,4,4,4,3,5,5,6
5.0,0,15,0,0,0,3,3,1,2,3,1,1,1,4,2,1,2,3,3,8
0.0,1,19,1,0,0,3,2,0,1,1,0,1,1,4,5,4,1,1,4,0
6.0,0,17,1,0,0,4,4,0,1,1,0,0,1,4,2,1,1,1,4,0
4.0,1,15,0,0,0,2,3,0,1,2,1,0,0,4,4,4,1,1,1,2
6.5,1,17,0,1,0,1,2,0,1,1,0,0,0,2,2,2,3,3,5,8
5.0,0,18,0,0,0,1,1,0,3,1,1,0,0,5,2,5,1,5,4,6
7.5,1,16,0,0,0,2,2,0,3,1,0,0,0,4,2,2,1,2,3,2
6.0,1,16,1,0,0,3,3,0,1,2,0,1,1,4,5,5,4,4,5,4
0.0,1,17,0,1,0,2,1,0,2,1,1,1,1,3,3,2,2,2,5,0
3.5,1,15,0,0,0,3,2,0,2,2,0,1,1,4,4,4,1,4,3,6
0.0,1,16,1,1,0,1,2,0,2,1,1,0,0,4,4,4,2,4,5,0
5.0,1,17,1,0,0,1,3,0,1,1,0,1,0,5,3,3,1,4,2,2
3.5,1,17,0,1,0,1,1,0,4,2,1,0,1,5,3,5,1,5,5,0
6.0,1,16,1,0,0,3,2,0,2,1,1,0,0,4,5,2,1,1,2,16
5.0,1,16,1,0,0,2,2,0,1,2,0,1,0,4,3,5,2,4,4,4
8.0,0,16,1,0,0,4,2,0,1,2,0,1,1,4,2,3,1,1,3,0
0.0,0,16,1,0,0,2,2,0,1,2,0,1,0,5,1,5,1,1,4,0
7.0,0,16,1,0,0,4,4,0,1,2,0,1,1,4,4,2,1,1,3,0
0.0,1,16,1,0,0,3,4,0,3,1,1,1,0,3,4,5,2,4,2,0
8.0,1,16,1,0,0,1,0,0,2,2,1,1,1,4,3,2,1,1,3,2
5.0,1,17,1,1,0,4,4,0,1,2,1,1,0,4,4,4,1,3,5,0
0.0,0,16,1,0,0,1,3,0,1,2,1,1,1,4,3,5,1,1,3,0
4.5,0,16,1,1,0,3,3,0,2,2,1,1,0,4,4,5,1,1,4,4
4.5,1,17,1,1,0,4,3,0,2,2,1,1,0,4,4,4,4,4,4,4
5.5,0,16,1,0,0,2,2,0,2,2,1,1,0,3,4,4,1,4,5,2
3.0,1,17,1,0,0,3,3,0,1,2,1,1,0,4,3,4,1,4,4,4
4.5,1,16,0,0,0,4,2,0,1,1,1,1,1,4,3,3,3,4,3,10
5.5,1,17,1,0,0,4,3,0,1,2,1,1,1,5,2,3,1,1,2,4
4.0,1,16,1,0,0,4,3,0,1,2,1,1,0,3,4,3,2,3,3,10
6.0,1,16,1,0,0,3,3,0,1,2,1,1,1,4,2,3,1,2,3,2
8.5,0,17,1,0,0,2,4,0,1,2,1,0,0,5,4,2,2,3,5,0
4.0,0,17,1,1,0,3,3,0,1,2,1,1,1,5,3,3,2,3,1,56
6.0,0,16,1,0,0,3,2,0,1,2,0,1,0,1,2,2,1,2,1,14
5.5,1,17,1,0,0,3,3,0,1,2,1,1,1,4,3,4,2,3,4,12
5.5,1,16,1,0,0,1,2,0,1,1,1,1,1,3,3,3,1,2,3,2
7.5,1,16,1,1,0,2,1,0,1,2,1,1,1,4,2,3,1,2,5,0
4.5,0,17,1,0,1,3,3,0,1,2,0,1,1,3,3,3,1,3,3,6
5.0,1,17,0,0,0,1,2,0,1,2,0,0,0,3,1,3,1,5,3,4
6.5,0,16,1,0,0,2,3,0,1,2,0,1,0,4,3,3,1,1,2,10
4.5,0,17,1,0,0,1,1,0,1,2,1,1,0,5,3,3,1,1,3,0
4.0,1,17,1,0,0,1,2,1,2,2,1,1,0,4,4,4,4,5,5,12
5.0,1,16,0,0,0,3,3,0,1,1,1,1,0,4,3,2,3,4,5,8
